DEFAULT;PD
0;0.13187378993754933
0;0.023723488306937053
0;0.08837994948463193
0;0.044958434443078295
1;0.714180244688077
0;0.011915905695501347
1;0.7426017303887673
0;0.10386392773998378
0;0.15620110910194893
0;0.07583213675832327
1;0.3701063756240827
0;0.06465158146588366
1;0.5886207163285322
0;0.012721489843335767
0;0.051727261920401946
0;0.002384537777130504
1;0.39281350603728415
1;0.14050523365635925
1;0.40152277213037707
0;0.3247192628245581
0;0.48994894695723806
0;0.1562597732954979
0;0.0030341487977229684
0;0.011439359807854823
0;0.12304796321171696
0;0.022270294513070207
0;0.052636556587545326
0;0.20189382260689148
0;0.5473349797767955
0;0.33917033116309414
0;0.28796243026205376
0;0.09472885240182023
1;0.8880801742635419
1;0.5300861379656076
0;0.024706299729615862
0;0.014076308743242793
1;0.5258636812544076
1;0.7300891256424441
0;0.31112931503520525
0;0.07117632272333738
0;0.22736885842742977
0;0.004078895898234996
0;0.22702443287149254
0;0.12733845539474373
0;0.001644191664141254
1;0.36774251935172275
0;0.047593868367467346
0;0.09623496747603003
0;0.012999875584171712
0;0.3822897890179539
1;0.3382481276372068
0;0.322608139728534
0;0.032037662509858476
1;0.5296849093906917
0;0.6545446723204782
0;0.01821729093589888
0;0.0322621503132413
0;0.026004418679093325
0;0.5981503183352239
0;0.19233624424869422
0;0.4361732971456766
1;0.16410635507605792
0;0.0619042427101277
0;0.03567357275082599
0;0.11273521768807958
0;0.00318545276355173
0;0.10181763449290433
0;0.20269166070535913
0;0.05219026031932522
0;0.2032405556700613
0;0.2782351172157684
0;0.510439162676403
0;0.18362183249719355
1;0.5604938893758368
0;0.21893633116194272
0;0.0017552176143462422
0;0.2337968437343161
1;0.07853027731247489
0;0.09601416779036089
0;0.009219431395460293
1;0.6299870088362205
1;0.44106839225139005
0;0.27767791085657045
0;0.5156031566432585
0;0.014995044774006018
1;0.358829325820384
0;0.501191177462284
1;0.14354551085545184
0;0.06555471946678722
0;0.3788601587773635
0;0.4850281365262755
0;0.03438087058517992
1;0.7505765142497726
0;0.5101094699175586
0;0.6904339412832484
1;0.06175688338556847
0;0.2418174644073086
0;0.030359511875263995
0;0.0060584859274611874
0;0.07135745355605967